CustomerID,Name,Gender,Age,City,SignupDate
C001,Customer1,M,19,Pune,2024-01-02
C002,Customer2,F,20,Mumbai,2024-01-03
C003,Customer3,M,21,Indore,2024-01-04
C004,Customer4,F,22,Jaipur,2024-01-05
C005,Customer5,M,23,Nagpur,2024-01-06
C006,Customer6,F,24,Pune,2024-01-07
C007,Customer7,M,25,Mumbai,2024-01-08
C008,Customer8,F,26,Indore,2024-01-09
C009,Customer9,M,27,Jaipur,2024-01-10
C010,Customer10,F,28,Nagpur,2024-01-11
C011,Customer11,M,29,Pune,2024-01-12
C012,Customer12,F,30,Mumbai,2024-01-13
C013,Customer13,M,31,Indore,2024-01-14
C014,Customer14,F,32,Jaipur,2024-01-15
C015,Customer15,M,33,Nagpur,2024-01-16
C016,Customer16,F,34,Pune,2024-01-17
C017,Customer17,M,35,Mumbai,2024-01-18
C018,Customer18,F,36,Indore,2024-01-19
C019,Customer19,M,37,Jaipur,2024-01-20
C020,Customer20,F,38,Nagpur,2024-01-21
C021,Customer21,M,39,Pune,2024-01-22
C022,Customer22,F,40,Mumbai,2024-01-23
C023,Customer23,M,41,Indore,2024-01-24
C024,Customer24,F,42,Jaipur,2024-01-25
C025,Customer25,M,43,Nagpur,2024-01-26
C026,Customer26,F,44,Pune,2024-01-27
C027,Customer27,M,45,Mumbai,2024-01-28
C028,Customer28,F,46,Indore,2024-01-29
C029,Customer29,M,47,Jaipur,2024-01-30
C030,Customer30,F,18,Nagpur,2024-01-31
C031,Customer31,M,19,Pune,2024-02-01
C032,Customer32,F,20,Mumbai,2024-02-02
C033,Customer33,M,21,Indore,2024-02-03
C034,Customer34,F,22,Jaipur,2024-02-04
C035,Customer35,M,23,Nagpur,2024-02-05
C036,Customer36,F,24,Pune,2024-02-06
C037,Customer37,M,25,Mumbai,2024-02-07
C038,Customer38,F,26,Indore,2024-02-08
C039,Customer39,M,27,Jaipur,2024-02-09
C040,Customer40,F,28,Nagpur,2024-02-10
C041,Customer41,M,29,Pune,2024-02-11
C042,Customer42,F,30,Mumbai,2024-02-12
C043,Customer43,M,31,Indore,2024-02-13
C044,Customer44,F,32,Jaipur,2024-02-14
C045,Customer45,M,33,Nagpur,2024-02-15
C046,Customer46,F,34,Pune,2024-02-16
C047,Customer47,M,35,Mumbai,2024-02-17
C048,Customer48,F,36,Indore,2024-02-18
C049,Customer49,M,37,Jaipur,2024-02-19
C050,Customer50,F,38,Nagpur,2024-02-20
C051,Customer51,M,39,Pune,2024-02-21
C052,Customer52,F,40,Mumbai,2024-02-22
C053,Customer53,M,41,Indore,2024-02-23
C054,Customer54,F,42,Jaipur,2024-02-24
C055,Customer55,M,43,Nagpur,2024-02-25
C056,Customer56,F,44,Pune,2024-02-26
C057,Customer57,M,45,Mumbai,2024-02-27
C058,Customer58,F,46,Indore,2024-02-28
C059,Customer59,M,47,Jaipur,2024-02-29
C060,Customer60,F,18,Nagpur,2024-03-01
C061,Customer61,M,19,Pune,2024-03-02
C062,Customer62,F,20,Mumbai,2024-03-03
C063,Customer63,M,21,Indore,2024-03-04
C064,Customer64,F,22,Jaipur,2024-03-05
C065,Customer65,M,23,Nagpur,2024-03-06
C066,Customer66,F,24,Pune,2024-03-07
C067,Customer67,M,25,Mumbai,2024-03-08
C068,Customer68,F,26,Indore,2024-03-09
C069,Customer69,M,27,Jaipur,2024-03-10
C070,Customer70,F,28,Nagpur,2024-03-11
C071,Customer71,M,29,Pune,2024-03-12
C072,Customer72,F,30,Mumbai,2024-03-13
C073,Customer73,M,31,Indore,2024-03-14
C074,Customer74,F,32,Jaipur,2024-03-15
C075,Customer75,M,33,Nagpur,2024-03-16
C076,Customer76,F,34,Pune,2024-03-17
C077,Customer77,M,35,Mumbai,2024-03-18
C078,Customer78,F,36,Indore,2024-03-19
C079,Customer79,M,37,Jaipur,2024-03-20
C080,Customer80,F,38,Nagpur,2024-03-21
C081,Customer81,M,39,Pune,2024-03-22
C082,Customer82,F,40,Mumbai,2024-03-23
C083,Customer83,M,41,Indore,2024-03-24
C084,Customer84,F,42,Jaipur,2024-03-25
C085,Customer85,M,43,Nagpur,2024-03-26
C086,Customer86,F,44,Pune,2024-03-27
C087,Customer87,M,45,Mumbai,2024-03-28
C088,Customer88,F,46,Indore,2024-03-29
C089,Customer89,M,47,Jaipur,2024-03-30
C090,Customer90,F,18,Nagpur,2024-03-31
C091,Customer91,M,19,Pune,2024-04-01
C092,Customer92,F,20,Mumbai,2024-04-02
C093,Customer93,M,21,Indore,2024-04-03
C094,Customer94,F,22,Jaipur,2024-04-04
C095,Customer95,M,23,Nagpur,2024-04-05
C096,Customer96,F,24,Pune,2024-04-06
C097,Customer97,M,25,Mumbai,2024-04-07
C098,Customer98,F,26,Indore,2024-04-08
C099,Customer99,M,27,Jaipur,2024-04-09
C100,Customer100,F,28,Nagpur,2024-04-10
