WarehouseID,ProductID,Stock
W001,P001,270
W002,P002,56
W001,P003,450
W001,P004,88
W001,P005,415
W002,P006,315
W001,P007,207
W002,P008,315
W002,P009,280
W002,P010,293
W001,P011,358
W001,P012,359
W002,P013,403
W002,P014,67
W002,P015,232
W001,P016,242
W001,P017,498
W002,P018,266
W001,P019,269
W001,P020,455
W002,P021,440
W001,P022,88
W002,P023,400
W001,P024,286
W001,P025,316
W002,P026,260
W001,P027,67
W002,P028,459
W002,P029,132
W001,P030,133
W001,P031,53
W002,P032,427
W001,P033,399
W001,P034,75
W002,P035,494
W001,P036,145
W002,P037,118
W001,P038,375
W002,P039,214
W002,P040,234
W002,P041,71
W001,P042,125
W001,P043,183
W001,P044,311
W001,P045,311
W001,P046,13
W001,P047,372
W001,P048,127
W001,P049,473
W001,P050,450
