OrderItemID,OrderID,ProductID,Quantity,SellingPrice,Total
OI00001,O0001,P040,2,3366,6732
OI00002,O0001,P043,1,4169,4169
OI00003,O0001,P019,3,2897,8691
OI00004,O0002,P010,2,3516,7032
OI00005,O0002,P016,1,2837,2837
OI00006,O0003,P021,2,4472,8944
OI00007,O0003,P044,3,3838,11514
OI00008,O0004,P045,3,2249,6747
OI00009,O0004,P032,2,2267,4534
OI00010,O0005,P012,1,2358,2358
OI00011,O0005,P023,2,2481,4962
OI00012,O0006,P024,3,1655,4965
OI00013,O0006,P015,1,1353,1353
OI00014,O0006,P016,1,2837,2837
OI00015,O0007,P015,1,1353,1353
OI00016,O0007,P027,1,1987,1987
OI00017,O0008,P034,3,2085,6255
OI00018,O0008,P005,3,3536,10608
OI00019,O0009,P026,1,2450,2450
OI00020,O0010,P001,3,284,852
OI00021,O0011,P011,1,3759,3759
OI00022,O0012,P024,3,1655,4965
OI00023,O0013,P008,3,4219,12657
OI00024,O0013,P022,3,3180,9540
OI00025,O0013,P035,3,3866,11598
OI00026,O0014,P033,2,1481,2962
OI00027,O0014,P027,1,1987,1987
OI00028,O0015,P010,2,3516,7032
OI00029,O0016,P024,1,1655,1655
OI00030,O0016,P017,2,839,1678
OI00031,O0017,P013,3,1387,4161
OI00032,O0017,P021,2,4472,8944
OI00033,O0017,P023,3,2481,7443
OI00034,O0018,P016,2,2837,5674
OI00035,O0019,P019,1,2897,2897
OI00036,O0019,P021,3,4472,13416
OI00037,O0019,P025,2,455,910
OI00038,O0020,P018,1,872,872
OI00039,O0021,P029,3,3794,11382
OI00040,O0022,P015,1,1353,1353
OI00041,O0023,P042,3,2657,7971
OI00042,O0023,P028,1,3193,3193
OI00043,O0023,P039,2,342,684
OI00044,O0024,P020,3,435,1305
OI00045,O0025,P014,1,2867,2867
OI00046,O0025,P050,1,1876,1876
OI00047,O0025,P031,1,2990,2990
OI00048,O0026,P005,3,3536,10608
OI00049,O0026,P002,1,2086,2086
OI00050,O0026,P004,2,792,1584
OI00051,O0027,P009,1,1708,1708
OI00052,O0028,P001,1,284,284
OI00053,O0028,P045,2,2249,4498
OI00054,O0028,P013,2,1387,2774
OI00055,O0029,P021,1,4472,4472
OI00056,O0029,P024,1,1655,1655
OI00057,O0030,P042,2,2657,5314
OI00058,O0030,P003,2,1223,2446
OI00059,O0030,P005,3,3536,10608
OI00060,O0031,P041,1,622,622
OI00061,O0031,P023,2,2481,4962
OI00062,O0031,P011,1,3759,3759
OI00063,O0032,P026,1,2450,2450
OI00064,O0032,P001,3,284,852
OI00065,O0033,P045,2,2249,4498
OI00066,O0033,P004,3,792,2376
OI00067,O0033,P036,2,2291,4582
OI00068,O0034,P015,3,1353,4059
OI00069,O0034,P028,2,3193,6386
OI00070,O0035,P026,1,2450,2450
OI00071,O0035,P032,2,2267,4534
OI00072,O0035,P014,2,2867,5734
OI00073,O0036,P019,2,2897,5794
OI00074,O0036,P041,3,622,1866
OI00075,O0037,P041,3,622,1866
OI00076,O0037,P008,3,4219,12657
OI00077,O0038,P045,1,2249,2249
OI00078,O0039,P020,2,435,870
OI00079,O0040,P009,1,1708,1708
OI00080,O0040,P050,1,1876,1876
OI00081,O0041,P029,3,3794,11382
OI00082,O0042,P014,1,2867,2867
OI00083,O0042,P019,2,2897,5794
OI00084,O0043,P023,3,2481,7443
OI00085,O0043,P048,3,3589,10767
OI00086,O0043,P036,2,2291,4582
OI00087,O0044,P027,1,1987,1987
OI00088,O0044,P030,3,1412,4236
OI00089,O0045,P007,1,1871,1871
OI00090,O0045,P046,3,2100,6300
OI00091,O0046,P029,1,3794,3794
OI00092,O0047,P001,2,284,568
OI00093,O0048,P049,2,3351,6702
OI00094,O0049,P035,2,3866,7732
OI00095,O0049,P009,1,1708,1708
OI00096,O0050,P030,2,1412,2824
OI00097,O0051,P006,1,324,324
OI00098,O0051,P049,2,3351,6702
OI00099,O0051,P030,1,1412,1412
OI00100,O0052,P042,2,2657,5314
OI00101,O0052,P002,1,2086,2086
OI00102,O0052,P044,2,3838,7676
OI00103,O0053,P050,2,1876,3752
OI00104,O0053,P024,2,1655,3310
OI00105,O0054,P038,3,538,1614
OI00106,O0055,P041,1,622,622
OI00107,O0056,P043,3,4169,12507
OI00108,O0056,P006,1,324,324
OI00109,O0057,P009,3,1708,5124
OI00110,O0058,P014,1,2867,2867
OI00111,O0058,P035,2,3866,7732
OI00112,O0058,P049,3,3351,10053
OI00113,O0059,P027,3,1987,5961
OI00114,O0059,P047,3,4495,13485
OI00115,O0059,P047,1,4495,4495
OI00116,O0060,P047,2,4495,8990
OI00117,O0061,P032,2,2267,4534
OI00118,O0061,P045,1,2249,2249
OI00119,O0061,P034,2,2085,4170
OI00120,O0062,P019,1,2897,2897
OI00121,O0062,P007,3,1871,5613
OI00122,O0063,P016,3,2837,8511
OI00123,O0063,P008,3,4219,12657
OI00124,O0064,P050,2,1876,3752
OI00125,O0065,P027,2,1987,3974
OI00126,O0065,P026,1,2450,2450
OI00127,O0066,P041,3,622,1866
OI00128,O0066,P022,2,3180,6360
OI00129,O0066,P033,3,1481,4443
OI00130,O0067,P016,3,2837,8511
OI00131,O0067,P013,1,1387,1387
OI00132,O0068,P010,1,3516,3516
OI00133,O0069,P037,3,1879,5637
OI00134,O0069,P023,2,2481,4962
OI00135,O0069,P018,2,872,1744
OI00136,O0070,P022,2,3180,6360
OI00137,O0070,P015,2,1353,2706
OI00138,O0070,P019,2,2897,5794
OI00139,O0071,P048,3,3589,10767
OI00140,O0072,P038,2,538,1076
OI00141,O0072,P004,2,792,1584
OI00142,O0072,P021,3,4472,13416
OI00143,O0073,P029,2,3794,7588
OI00144,O0074,P013,2,1387,2774
OI00145,O0075,P022,1,3180,3180
OI00146,O0076,P003,1,1223,1223
OI00147,O0077,P003,3,1223,3669
OI00148,O0078,P006,1,324,324
OI00149,O0078,P004,1,792,792
OI00150,O0079,P025,2,455,910
OI00151,O0079,P044,2,3838,7676
OI00152,O0080,P035,1,3866,3866
OI00153,O0080,P035,1,3866,3866
OI00154,O0080,P001,3,284,852
OI00155,O0081,P025,3,455,1365
OI00156,O0082,P013,2,1387,2774
OI00157,O0082,P036,1,2291,2291
OI00158,O0083,P040,1,3366,3366
OI00159,O0083,P043,2,4169,8338
OI00160,O0083,P048,3,3589,10767
OI00161,O0084,P011,3,3759,11277
OI00162,O0085,P046,3,2100,6300
OI00163,O0085,P017,3,839,2517
OI00164,O0086,P039,2,342,684
OI00165,O0086,P038,2,538,1076
OI00166,O0086,P045,3,2249,6747
OI00167,O0087,P028,2,3193,6386
OI00168,O0087,P021,3,4472,13416
OI00169,O0087,P030,2,1412,2824
OI00170,O0088,P021,1,4472,4472
OI00171,O0088,P022,1,3180,3180
OI00172,O0088,P042,2,2657,5314
OI00173,O0089,P046,3,2100,6300
OI00174,O0089,P044,2,3838,7676
OI00175,O0090,P016,1,2837,2837
OI00176,O0090,P043,1,4169,4169
OI00177,O0090,P025,2,455,910
OI00178,O0091,P015,2,1353,2706
OI00179,O0092,P023,1,2481,2481
OI00180,O0092,P009,3,1708,5124
OI00181,O0092,P002,3,2086,6258
OI00182,O0093,P002,3,2086,6258
OI00183,O0093,P023,2,2481,4962
OI00184,O0094,P040,3,3366,10098
OI00185,O0094,P046,2,2100,4200
OI00186,O0095,P043,3,4169,12507
OI00187,O0095,P022,1,3180,3180
OI00188,O0096,P017,3,839,2517
OI00189,O0097,P018,2,872,1744
OI00190,O0097,P046,1,2100,2100
OI00191,O0098,P005,3,3536,10608
OI00192,O0098,P017,1,839,839
OI00193,O0098,P022,1,3180,3180
OI00194,O0099,P033,3,1481,4443
OI00195,O0099,P013,2,1387,2774
OI00196,O0100,P049,2,3351,6702
OI00197,O0100,P020,2,435,870
OI00198,O0100,P041,2,622,1244
OI00199,O0101,P005,3,3536,10608
OI00200,O0102,P002,3,2086,6258
OI00201,O0102,P043,2,4169,8338
OI00202,O0103,P001,1,284,284
OI00203,O0104,P002,2,2086,4172
OI00204,O0104,P045,1,2249,2249
OI00205,O0104,P050,3,1876,5628
OI00206,O0105,P001,2,284,568
OI00207,O0105,P044,3,3838,11514
OI00208,O0106,P046,2,2100,4200
OI00209,O0106,P014,3,2867,8601
OI00210,O0107,P007,1,1871,1871
OI00211,O0108,P032,3,2267,6801
OI00212,O0109,P035,2,3866,7732
OI00213,O0110,P038,3,538,1614
OI00214,O0111,P002,3,2086,6258
OI00215,O0112,P030,1,1412,1412
OI00216,O0113,P021,2,4472,8944
OI00217,O0113,P021,3,4472,13416
OI00218,O0114,P047,3,4495,13485
OI00219,O0114,P039,2,342,684
OI00220,O0115,P019,1,2897,2897
OI00221,O0115,P004,1,792,792
OI00222,O0116,P026,3,2450,7350
OI00223,O0117,P005,2,3536,7072
OI00224,O0117,P022,2,3180,6360
OI00225,O0117,P005,1,3536,3536
OI00226,O0118,P030,3,1412,4236
OI00227,O0118,P039,3,342,1026
OI00228,O0119,P029,2,3794,7588
OI00229,O0119,P032,1,2267,2267
OI00230,O0120,P042,2,2657,5314
OI00231,O0120,P049,1,3351,3351
OI00232,O0120,P016,1,2837,2837
OI00233,O0121,P007,2,1871,3742
OI00234,O0121,P028,2,3193,6386
OI00235,O0122,P006,3,324,972
OI00236,O0123,P007,1,1871,1871
OI00237,O0123,P036,2,2291,4582
OI00238,O0124,P014,3,2867,8601
OI00239,O0124,P010,2,3516,7032
OI00240,O0125,P006,2,324,648
OI00241,O0125,P019,3,2897,8691
OI00242,O0125,P022,1,3180,3180
OI00243,O0126,P013,1,1387,1387
OI00244,O0127,P013,3,1387,4161
OI00245,O0128,P049,3,3351,10053
OI00246,O0128,P029,1,3794,3794
OI00247,O0128,P019,2,2897,5794
OI00248,O0129,P040,3,3366,10098
OI00249,O0130,P023,3,2481,7443
OI00250,O0131,P036,1,2291,2291
OI00251,O0131,P028,1,3193,3193
OI00252,O0132,P043,1,4169,4169
OI00253,O0132,P046,1,2100,2100
OI00254,O0133,P032,1,2267,2267
OI00255,O0134,P016,1,2837,2837
OI00256,O0135,P031,2,2990,5980
OI00257,O0136,P017,1,839,839
OI00258,O0137,P032,2,2267,4534
OI00259,O0137,P007,3,1871,5613
OI00260,O0138,P012,3,2358,7074
OI00261,O0139,P011,2,3759,7518
OI00262,O0139,P020,2,435,870
OI00263,O0140,P033,2,1481,2962
OI00264,O0141,P040,3,3366,10098
OI00265,O0141,P029,3,3794,11382
OI00266,O0141,P013,3,1387,4161
OI00267,O0142,P013,3,1387,4161
OI00268,O0142,P015,2,1353,2706
OI00269,O0142,P002,1,2086,2086
OI00270,O0143,P050,1,1876,1876
OI00271,O0143,P010,2,3516,7032
OI00272,O0144,P003,2,1223,2446
OI00273,O0144,P021,3,4472,13416
OI00274,O0145,P036,1,2291,2291
OI00275,O0146,P015,1,1353,1353
OI00276,O0146,P042,3,2657,7971
OI00277,O0146,P001,3,284,852
OI00278,O0147,P026,2,2450,4900
OI00279,O0147,P018,3,872,2616
OI00280,O0147,P032,1,2267,2267
OI00281,O0148,P032,1,2267,2267
OI00282,O0148,P023,1,2481,2481
OI00283,O0148,P017,3,839,2517
OI00284,O0149,P002,3,2086,6258
OI00285,O0149,P034,1,2085,2085
OI00286,O0150,P028,3,3193,9579
OI00287,O0150,P011,2,3759,7518
OI00288,O0150,P048,1,3589,3589
OI00289,O0151,P038,1,538,538
OI00290,O0152,P033,3,1481,4443
OI00291,O0152,P012,1,2358,2358
OI00292,O0152,P021,1,4472,4472
OI00293,O0153,P028,1,3193,3193
OI00294,O0153,P012,2,2358,4716
OI00295,O0154,P005,1,3536,3536
OI00296,O0155,P010,2,3516,7032
OI00297,O0155,P043,2,4169,8338
OI00298,O0155,P031,3,2990,8970
OI00299,O0156,P002,1,2086,2086
OI00300,O0156,P021,2,4472,8944
OI00301,O0157,P019,2,2897,5794
OI00302,O0158,P028,2,3193,6386
OI00303,O0159,P026,1,2450,2450
OI00304,O0160,P043,3,4169,12507
OI00305,O0160,P004,1,792,792
OI00306,O0161,P005,3,3536,10608
OI00307,O0161,P013,2,1387,2774
OI00308,O0162,P014,2,2867,5734
OI00309,O0163,P003,1,1223,1223
OI00310,O0163,P026,1,2450,2450
OI00311,O0164,P023,3,2481,7443
OI00312,O0164,P044,2,3838,7676
OI00313,O0165,P039,1,342,342
OI00314,O0165,P018,2,872,1744
