OrderID,CustomerID,OrderDate,Status,WarehouseID,EmployeeID
O0001,C043,2025-01-19,Cancelled,W001,E005
O0002,C093,2025-05-27,Cancelled,W002,E004
O0003,C013,2025-06-18,Shipped,W002,E007
O0004,C087,2025-06-17,Cancelled,W001,E001
O0005,C032,2025-02-19,Delivered,W002,E003
O0006,C032,2025-01-20,Shipped,W001,E001
O0007,C022,2025-04-15,Shipped,W002,E004
O0008,C001,2025-04-10,Shipped,W002,E005
O0009,C085,2025-05-05,Delivered,W001,E005
O0010,C095,2025-05-19,Delivered,W002,E001
O0011,C065,2025-05-16,Delivered,W001,E009
O0012,C077,2025-01-18,Cancelled,W001,E007
O0013,C075,2025-06-02,Delivered,W001,E007
O0014,C034,2025-02-22,Cancelled,W002,E004
O0015,C083,2025-03-18,Shipped,W002,E002
O0016,C073,2025-01-26,Delivered,W001,E009
O0017,C032,2025-04-05,Shipped,W001,E008
O0018,C068,2025-01-03,Cancelled,W002,E002
O0019,C014,2025-05-22,Delivered,W002,E005
O0020,C088,2025-06-12,Shipped,W002,E005
O0021,C055,2025-03-12,Delivered,W001,E006
O0022,C021,2025-04-24,Cancelled,W002,E009
O0023,C089,2025-02-08,Cancelled,W001,E006
O0024,C006,2025-03-20,Shipped,W001,E006
O0025,C086,2025-01-27,Shipped,W002,E010
O0026,C053,2025-01-07,Delivered,W002,E007
O0027,C090,2025-01-28,Shipped,W001,E008
O0028,C045,2025-03-20,Delivered,W001,E001
O0029,C009,2025-03-13,Shipped,W002,E009
O0030,C023,2025-05-29,Shipped,W001,E002
O0031,C056,2025-06-05,Cancelled,W001,E007
O0032,C056,2025-01-01,Cancelled,W001,E006
O0033,C080,2025-03-22,Cancelled,W001,E005
O0034,C052,2025-06-28,Shipped,W001,E004
O0035,C096,2025-02-14,Cancelled,W002,E007
O0036,C056,2025-05-29,Cancelled,W002,E008
O0037,C066,2025-05-02,Cancelled,W001,E002
O0038,C080,2025-03-27,Delivered,W001,E005
O0039,C004,2025-01-12,Delivered,W002,E010
O0040,C081,2025-05-28,Delivered,W002,E008
O0041,C089,2025-01-02,Delivered,W002,E004
O0042,C060,2025-01-13,Cancelled,W001,E002
O0043,C068,2025-05-24,Cancelled,W002,E008
O0044,C058,2025-02-10,Cancelled,W002,E008
O0045,C099,2025-05-14,Shipped,W001,E005
O0046,C031,2025-03-11,Shipped,W002,E009
O0047,C030,2025-04-09,Cancelled,W001,E004
O0048,C043,2025-05-19,Shipped,W002,E001
O0049,C099,2025-05-30,Cancelled,W001,E010
O0050,C039,2025-04-10,Shipped,W001,E008
O0051,C063,2025-01-08,Shipped,W002,E007
O0052,C069,2025-01-07,Shipped,W001,E002
O0053,C007,2025-03-08,Shipped,W002,E004
O0054,C036,2025-04-18,Shipped,W001,E008
O0055,C007,2025-03-31,Delivered,W001,E001
O0056,C003,2025-06-09,Delivered,W001,E003
O0057,C028,2025-04-30,Cancelled,W002,E006
O0058,C096,2025-01-30,Delivered,W002,E002
O0059,C049,2025-04-12,Cancelled,W001,E002
O0060,C090,2025-03-19,Cancelled,W001,E010
O0061,C055,2025-06-19,Shipped,W001,E009
O0062,C014,2025-04-21,Shipped,W002,E003
O0063,C084,2025-03-11,Cancelled,W002,E008
O0064,C042,2025-03-04,Delivered,W002,E008
O0065,C079,2025-06-21,Shipped,W002,E001
O0066,C028,2025-04-01,Shipped,W002,E005
O0067,C067,2025-02-18,Delivered,W001,E007
O0068,C061,2025-06-15,Cancelled,W002,E008
O0069,C029,2025-04-14,Cancelled,W001,E005
O0070,C068,2025-03-30,Shipped,W002,E006
O0071,C030,2025-01-31,Cancelled,W001,E006
O0072,C098,2025-06-26,Delivered,W001,E004
O0073,C098,2025-05-15,Cancelled,W002,E002
O0074,C047,2025-02-15,Shipped,W001,E009
O0075,C007,2025-05-22,Shipped,W001,E008
O0076,C037,2025-05-01,Shipped,W002,E006
O0077,C062,2025-01-30,Delivered,W002,E008
O0078,C088,2025-01-14,Delivered,W001,E010
O0079,C072,2025-04-17,Cancelled,W001,E009
O0080,C076,2025-04-20,Shipped,W001,E010
O0081,C034,2025-06-19,Delivered,W001,E004
O0082,C021,2025-01-01,Shipped,W002,E010
O0083,C037,2025-06-30,Shipped,W002,E002
O0084,C085,2025-02-20,Shipped,W001,E009
O0085,C035,2025-02-06,Delivered,W001,E003
O0086,C037,2025-04-23,Delivered,W002,E005
O0087,C064,2025-04-23,Delivered,W001,E007
O0088,C012,2025-02-28,Cancelled,W001,E005
O0089,C084,2025-04-24,Shipped,W001,E010
O0090,C061,2025-03-31,Shipped,W002,E006
O0091,C089,2025-05-07,Shipped,W002,E009
O0092,C041,2025-03-06,Shipped,W001,E007
O0093,C053,2025-01-14,Delivered,W002,E010
O0094,C027,2025-03-10,Cancelled,W001,E005
O0095,C004,2025-06-11,Cancelled,W001,E003
O0096,C053,2025-01-24,Delivered,W001,E008
O0097,C064,2025-03-16,Cancelled,W002,E007
O0098,C071,2025-02-07,Shipped,W001,E010
O0099,C099,2025-04-17,Shipped,W002,E001
O0100,C075,2025-06-18,Shipped,W001,E008
O0101,C098,2025-05-20,Shipped,W002,E006
O0102,C074,2025-04-09,Delivered,W002,E001
O0103,C049,2025-04-09,Cancelled,W001,E008
O0104,C076,2025-03-26,Delivered,W002,E002
O0105,C053,2025-06-17,Delivered,W001,E008
O0106,C051,2025-06-16,Delivered,W002,E009
O0107,C098,2025-05-05,Cancelled,W001,E010
O0108,C088,2025-03-15,Delivered,W001,E007
O0109,C013,2025-04-24,Delivered,W002,E001
O0110,C038,2025-04-02,Shipped,W002,E003
O0111,C073,2025-06-24,Delivered,W001,E003
O0112,C080,2025-06-24,Delivered,W002,E010
O0113,C082,2025-03-07,Shipped,W002,E001
O0114,C021,2025-01-19,Shipped,W002,E010
O0115,C033,2025-04-27,Shipped,W001,E007
O0116,C074,2025-04-02,Cancelled,W002,E005
O0117,C036,2025-01-03,Cancelled,W001,E010
O0118,C046,2025-02-26,Cancelled,W001,E010
O0119,C088,2025-02-05,Cancelled,W001,E001
O0120,C047,2025-02-03,Delivered,W002,E006
O0121,C070,2025-04-04,Cancelled,W002,E003
O0122,C044,2025-01-30,Shipped,W001,E003
O0123,C087,2025-04-12,Cancelled,W002,E002
O0124,C016,2025-04-27,Shipped,W002,E010
O0125,C087,2025-03-01,Shipped,W001,E010
O0126,C009,2025-06-12,Shipped,W002,E007
O0127,C005,2025-03-19,Shipped,W001,E002
O0128,C050,2025-04-27,Shipped,W002,E010
O0129,C013,2025-05-06,Cancelled,W002,E005
O0130,C028,2025-04-24,Shipped,W001,E006
O0131,C070,2025-06-15,Shipped,W001,E007
O0132,C012,2025-06-19,Delivered,W001,E001
O0133,C027,2025-01-18,Cancelled,W001,E010
O0134,C100,2025-02-07,Cancelled,W001,E005
O0135,C033,2025-02-14,Delivered,W001,E003
O0136,C076,2025-03-24,Delivered,W001,E005
O0137,C054,2025-05-15,Delivered,W001,E008
O0138,C014,2025-04-26,Cancelled,W001,E010
O0139,C067,2025-03-19,Shipped,W001,E001
O0140,C014,2025-05-06,Cancelled,W002,E002
O0141,C019,2025-01-17,Delivered,W002,E010
O0142,C049,2025-06-02,Cancelled,W002,E008
O0143,C015,2025-06-17,Cancelled,W001,E007
O0144,C059,2025-04-13,Shipped,W001,E006
O0145,C048,2025-02-09,Cancelled,W002,E002
O0146,C056,2025-01-25,Cancelled,W002,E003
O0147,C043,2025-06-21,Delivered,W002,E006
O0148,C077,2025-03-21,Shipped,W001,E010
O0149,C029,2025-01-28,Shipped,W002,E002
O0150,C072,2025-06-09,Cancelled,W001,E010
O0151,C035,2025-06-29,Shipped,W002,E006
O0152,C073,2025-06-18,Shipped,W001,E003
O0153,C068,2025-02-25,Shipped,W002,E008
