PaymentID,OrderID,Amount,Method,Status
PAY0001,O0001,19592,UPI,Success
PAY0002,O0002,9869,UPI,Success
PAY0003,O0003,20458,UPI,Success
PAY0004,O0004,11281,UPI,Success
PAY0005,O0005,7320,Card,Success
PAY0006,O0006,9155,UPI,Success
PAY0007,O0007,3340,Card,Success
PAY0008,O0008,16863,COD,Success
PAY0009,O0009,2450,COD,Success
PAY0010,O0010,852,Card,Success
PAY0011,O0011,3759,UPI,Success
PAY0012,O0012,4965,UPI,Success
PAY0013,O0013,33795,Card,Success
PAY0014,O0014,4949,COD,Success
PAY0015,O0015,7032,COD,Success
PAY0016,O0016,3333,UPI,Success
PAY0017,O0017,20548,COD,Success
PAY0018,O0018,5674,UPI,Success
PAY0019,O0019,17223,UPI,Success
PAY0020,O0020,872,COD,Success
PAY0021,O0021,11382,Card,Success
PAY0022,O0022,1353,UPI,Success
PAY0023,O0023,11848,UPI,Success
PAY0024,O0024,1305,UPI,Success
PAY0025,O0025,7733,UPI,Success
PAY0026,O0026,14278,UPI,Success
PAY0027,O0027,1708,Card,Success
PAY0028,O0028,7556,Card,Success
PAY0029,O0029,6127,Card,Success
PAY0030,O0030,18368,Card,Success
PAY0031,O0031,9343,COD,Success
PAY0032,O0032,3302,Card,Success
PAY0033,O0033,11456,Card,Success
PAY0034,O0034,10445,COD,Success
PAY0035,O0035,12718,UPI,Success
PAY0036,O0036,7660,UPI,Success
PAY0037,O0037,14523,COD,Success
PAY0038,O0038,2249,UPI,Success
PAY0039,O0039,870,Card,Success
PAY0040,O0040,3584,COD,Success
PAY0041,O0041,11382,COD,Success
PAY0042,O0042,8661,COD,Success
PAY0043,O0043,22792,COD,Success
PAY0044,O0044,6223,Card,Success
PAY0045,O0045,8171,Card,Success
PAY0046,O0046,3794,UPI,Success
PAY0047,O0047,568,Card,Success
PAY0048,O0048,6702,Card,Success
PAY0049,O0049,9440,Card,Success
PAY0050,O0050,2824,Card,Success
PAY0051,O0051,8438,COD,Success
PAY0052,O0052,15076,UPI,Success
PAY0053,O0053,7062,Card,Success
PAY0054,O0054,1614,COD,Success
PAY0055,O0055,622,UPI,Success
PAY0056,O0056,12831,COD,Success
PAY0057,O0057,5124,COD,Success
PAY0058,O0058,20652,COD,Success
PAY0059,O0059,23941,UPI,Success
PAY0060,O0060,8990,COD,Success
PAY0061,O0061,10953,Card,Success
PAY0062,O0062,8510,COD,Success
PAY0063,O0063,21168,Card,Success
PAY0064,O0064,3752,COD,Success
PAY0065,O0065,6424,Card,Success
PAY0066,O0066,12669,UPI,Success
PAY0067,O0067,9898,COD,Success
PAY0068,O0068,3516,Card,Success
PAY0069,O0069,12343,COD,Success
PAY0070,O0070,14860,Card,Success
PAY0071,O0071,10767,COD,Success
PAY0072,O0072,16076,COD,Success
PAY0073,O0073,7588,UPI,Success
PAY0074,O0074,2774,UPI,Success
PAY0075,O0075,3180,COD,Success
PAY0076,O0076,1223,Card,Success
PAY0077,O0077,3669,COD,Success
PAY0078,O0078,1116,UPI,Success
PAY0079,O0079,8586,Card,Success
PAY0080,O0080,8584,UPI,Success
PAY0081,O0081,1365,UPI,Success
PAY0082,O0082,5065,UPI,Success
PAY0083,O0083,22471,COD,Success
PAY0084,O0084,11277,UPI,Success
PAY0085,O0085,8817,COD,Success
PAY0086,O0086,8507,COD,Success
PAY0087,O0087,22626,UPI,Success
PAY0088,O0088,12966,COD,Success
PAY0089,O0089,13976,UPI,Success
