ProductID,ProductName,CategoryID,MRP,SellingPrice,SupplierID
P001,Product 1,CAT001,1012,284,SUP001
P002,Product 2,CAT002,2353,2086,SUP002
P003,Product 3,CAT003,1928,1223,SUP003
P004,Product 4,CAT004,939,792,SUP004
P005,Product 5,CAT005,4937,3536,SUP005
P006,Product 6,CAT006,360,324,SUP006
P007,Product 7,CAT007,867,1871,SUP007
P008,Product 8,CAT008,2005,4219,SUP008
P009,Product 9,CAT009,317,1708,SUP009
P010,Product 10,CAT010,4564,3516,SUP010
P011,Product 11,CAT001,1905,3759,SUP001
P012,Product 12,CAT002,4927,2358,SUP002
P013,Product 13,CAT003,153,1387,SUP003
P014,Product 14,CAT004,3562,2867,SUP004
P015,Product 15,CAT005,2376,1353,SUP005
P016,Product 16,CAT006,1863,2837,SUP006
P017,Product 17,CAT007,937,839,SUP007
P018,Product 18,CAT008,3212,872,SUP008
P019,Product 19,CAT009,3040,2897,SUP009
P020,Product 20,CAT010,2266,435,SUP010
P021,Product 21,CAT001,3863,4472,SUP001
P022,Product 22,CAT002,1122,3180,SUP002
P023,Product 23,CAT003,745,2481,SUP003
P024,Product 24,CAT004,3062,1655,SUP004
P025,Product 25,CAT005,669,455,SUP005
P026,Product 26,CAT006,1966,2450,SUP006
P027,Product 27,CAT007,753,1987,SUP007
P028,Product 28,CAT008,927,3193,SUP008
P029,Product 29,CAT009,2377,3794,SUP009
P030,Product 30,CAT010,3088,1412,SUP010
P031,Product 31,CAT001,3132,2990,SUP001
P032,Product 32,CAT002,1816,2267,SUP002
P033,Product 33,CAT003,684,1481,SUP003
P034,Product 34,CAT004,4475,2085,SUP004
P035,Product 35,CAT005,1438,3866,SUP005
P036,Product 36,CAT006,3208,2291,SUP006
P037,Product 37,CAT007,4662,1879,SUP007
P038,Product 38,CAT008,2756,538,SUP008
P039,Product 39,CAT009,1976,342,SUP009
P040,Product 40,CAT010,2684,3366,SUP010
P041,Product 41,CAT001,2293,622,SUP001
P042,Product 42,CAT002,1828,2657,SUP002
P043,Product 43,CAT003,1841,4169,SUP003
P044,Product 44,CAT004,3341,3838,SUP004
P045,Product 45,CAT005,1270,2249,SUP005
P046,Product 46,CAT006,1243,2100,SUP006
P047,Product 47,CAT007,4698,4495,SUP007
P048,Product 48,CAT008,2252,3589,SUP008
P049,Product 49,CAT009,4880,3351,SUP009
P050,Product 50,CAT010,3065,1876,SUP010
